lut,dsp,error,latency
603,5,1.0681659659894649e-05,996004001
745,5,5.4665483730786946e-06,209160907
603,5,1.0681659659894649e-05,398401631
1023,5,4.860810804530047e-06,183073120
1186,8,4.357656962383771e-06,149839720
1176,8,4.382989118312253e-06,150039320
715,5,5.368003712646896e-06,368521531
623,5,9.657390364736784e-06,398401631
1301,7,4.338900907896459e-06,149640120
1033,5,4.745564638142241e-06,183073120
1281,7,4.3457366700749844e-06,149640120
1226,8,4.315058049542131e-06,149640120
685,5,6.278199634834891e-06,368521511
1043,5,4.393420113046886e-06,150039320
1720,16,4.313567842473276e-06,149640120
725,5,5.058032911620103e-06,298801258
685,5,5.590175987890689e-06,567722291
745,5,5.4629635997116566e-06,268921141
633,5,8.852602150000166e-06,398401621
725,5,5.595552465820219e-06,209160917
715,5,5.8463929235585965e-06,209160917
623,5,8.925772817747202e-06,597602411
1003,5,4.992658432456665e-06,182873520
1063,5,4.386584350868361e-06,150039320
1206,8,4.321894266468007e-06,149640120
603,5,9.511063581157941e-06,597602411
613,5,1.016952137433691e-05,398401631
1196,8,4.347225967649138e-06,149839720
1730,16,4.312077635404421e-06,149640120
